Batch,Problem,FilePath,SolutionFound,SolutionCount,ComputationTime_ms,Restarts,TotalSteps,AvgStepsToSolution,EstimatedEnergy_microjoules,EstimatedPower_mW,EnergyPerSolution_microjoules,RunTimestamp
t_batch_3,001.cnf,./problems/t_batch_3/001.cnf,True,1,0.703,1,5624,5624.0,10742.6836,15281.2,10742.6836,2025-03-09T13:27:49.016564
t_batch_3,002.cnf,./problems/t_batch_3/002.cnf,True,1,0.244,1,1977,1977.0,3684.1194,15098.85,3684.1194,2025-03-09T13:27:49.024022
t_batch_3,003.cnf,./problems/t_batch_3/003.cnf,True,1,0.428,1,3633,3633.0,6497.7462,15181.65,6497.7462,2025-03-09T13:27:49.031713
t_batch_3,004.cnf,./problems/t_batch_3/004.cnf,True,1,0.348,1,2872,2872.0,5269.9728000000005,15143.6,5269.9728000000005,2025-03-09T13:27:49.039116
t_batch_3,005.cnf,./problems/t_batch_3/005.cnf,True,1,0.396,1,2203,2203.0,5983.6194000000005,15110.15,5983.6194000000005,2025-03-09T13:27:49.047186
t_batch_3,006.cnf,./problems/t_batch_3/006.cnf,True,1,0.196,1,1378,1378.0,2953.5044000000003,15068.9,2953.5044000000003,2025-03-09T13:27:49.054593
t_batch_3,007.cnf,./problems/t_batch_3/007.cnf,True,1,0.176,1,646,646.0,2645.6847999999995,15032.3,2645.6847999999995,2025-03-09T13:27:49.061665
t_batch_3,008.cnf,./problems/t_batch_3/008.cnf,True,1,0.174,1,1322,1322.0,2621.5014,15066.1,2621.5014,2025-03-09T13:27:49.069371
t_batch_3,009.cnf,./problems/t_batch_3/009.cnf,True,1,0.323,1,1833,1833.0,4874.6029499999995,15091.65,4874.6029499999995,2025-03-09T13:27:49.076383
t_batch_3,010.cnf,./problems/t_batch_3/010.cnf,True,1,0.07,1,377,377.0,1051.3195000000003,15018.85,1051.3195000000003,2025-03-09T13:27:49.083430
t_batch_3,011.cnf,./problems/t_batch_3/011.cnf,True,1,0.749,1,6531,6531.0,11479.585949999999,15326.55,11479.585949999999,2025-03-09T13:27:49.091354
t_batch_3,012.cnf,./problems/t_batch_3/012.cnf,True,1,0.172,1,1369,1369.0,2591.7733999999996,15068.45,2591.7733999999996,2025-03-09T13:27:49.098991
t_batch_3,013.cnf,./problems/t_batch_3/013.cnf,True,1,0.288,1,2350,2350.0,4353.839999999999,15117.5,4353.839999999999,2025-03-09T13:27:49.106124
t_batch_3,014.cnf,./problems/t_batch_3/014.cnf,True,1,0.293,1,1782,1782.0,4421.1063,15089.1,4421.1063,2025-03-09T13:27:49.113326
t_batch_3,015.cnf,./problems/t_batch_3/015.cnf,True,1,0.623,1,5452,5452.0,9514.8298,15272.6,9514.8298,2025-03-09T13:27:49.120955
t_batch_3,016.cnf,./problems/t_batch_3/016.cnf,True,1,0.456,1,3818,3818.0,6927.050400000001,15190.9,6927.050400000001,2025-03-09T13:27:49.128378
t_batch_3,017.cnf,./problems/t_batch_3/017.cnf,True,1,1.113,1,8504,8504.0,17168.247600000002,15425.2,17168.247600000002,2025-03-09T13:27:49.136405
t_batch_3,018.cnf,./problems/t_batch_3/018.cnf,True,1,0.106,1,715,715.0,1593.7894999999999,15035.75,1593.7894999999999,2025-03-09T13:27:49.143255
t_batch_3,019.cnf,./problems/t_batch_3/019.cnf,True,1,0.212,1,1494,1494.0,3195.8364,15074.7,3195.8364,2025-03-09T13:27:49.150642
